2017/04/23 00:04:11 [release] Leaf 1.1.2 starting up
2017/04/23 00:04:11 [debug  ] Game Module Run	111
2017/04/23 00:04:11 [debug  ] Gate Module Run
2017/04/23 01:55:11 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:55:20 [debug  ] read message: EOF
2017/04/23 01:55:20 [debug  ] gs read message: read tcp 127.0.0.1:58545->127.0.0.1:8890: use of closed network connection
2017/04/23 01:55:37 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:55:44 [debug  ] read message: EOF
2017/04/23 01:55:44 [debug  ] gs read message: read tcp 127.0.0.1:58561->127.0.0.1:8890: use of closed network connection
2017/04/23 01:55:51 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:55:56 [debug  ] read message: EOF
2017/04/23 01:55:56 [debug  ] gs read message: read tcp 127.0.0.1:58591->127.0.0.1:8890: use of closed network connection
2017/04/23 01:56:11 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:56:17 [debug  ] read message: EOF
2017/04/23 01:56:17 [debug  ] gs read message: read tcp 127.0.0.1:58634->127.0.0.1:8890: use of closed network connection
